,Pos,P+,Artist,Points,Apple M,Spotify,iTunes,YouTube,Shazam,Deezer,Top Country,#
0,1,=,Sabrina Carpenter,5884,2673,2104,336,411,132,228,United States,143
1,2,=,Billie Eilish,4501,2206,1492,330,180,146,148,Netherlands,151
2,3,=,Taylor Swift,4131,2524,1332,164,11,34,67,Australia,125
3,4,=,LINKIN PARK,2989,742,1194,359,459,63,174,Germany,107
4,5,=,The Weeknd,2635,1233,895,261,118,65,64,Brazil,149
5,6,=,Lady Gaga,2565,704,783,407,338,185,148,Indonesia,135
6,7,=,Bruno Mars,2393,895,750,560,21,161,4,Indonesia,140
7,8,+1,Teddy Swims,2198,527,497,596,281,149,149,Australia,112
8,9,-1,Chappell Roan,2105,825,682,247,97,123,130,United States,105
9,10,=,KAROL G,2028,479,934,129,293,73,120,Spain,57
10,11,=,Feid,1963,844,794,4,205,61,55,Colombia,22
11,12,+2,Bad Bunny,1820,1042,723,4,4,5,41,Colombia,38
12,13,=,Travis Scott,1770,1113,558,25,23,32,18,Brazil,141
13,14,-2,Jimin,1724,565,666,190,0,15,289,Russia,95
14,15,=,Adele,1608,635,441,400,90,29,13,Netherlands,141
15,16,=,Charli XCX,1554,955,444,28,28,31,68,Australia,101
16,17,=,FloyyMenor,1438,301,593,23,337,144,41,Chile,102
17,18,=,Benson Boone,1425,287,622,167,150,105,94,Australia,103
18,19,=,Coldplay,1410,435,292,512,32,98,40,Ireland,115
19,20,=,Post Malone,1383,594,464,138,61,39,87,Canada,108
20,21,=,Eminem,1330,615,341,201,88,51,34,Canada,134
21,22,=,Cris Mj,1139,309,461,24,201,125,20,Chile,100
22,23,=,Ariana Grande,1122,685,353,23,13,14,34,Philippines,117
23,24,=,Kendrick Lamar,1105,654,266,15,111,45,13,United States,139
24,25,=,Peso Pluma,1088,418,414,27,189,15,26,Mexico,24
25,26,=,Drake,1063,832,202,11,1,6,11,United States,109
26,27,=,Hozier,1022,282,463,102,59,64,51,Australia,90
27,28,=,Shaboozey,989,245,293,204,87,59,102,Canada,72
28,29,+1,Myke Towers,902,297,499,7,71,14,14,Spain,23
29,30,+1,Kapo,894,179,291,28,302,52,43,Spain,25
30,31,+2,Zach Bryan,893,300,462,25,15,4,88,Canada,20
31,32,-3,SZA,885,460,340,22,0,4,58,United States,107
32,33,-1,Kanye West,872,704,137,12,7,11,1,South Korea,120
33,34,=,Tate McRae,805,381,279,60,21,11,55,Australia,86
34,35,+1,Ed Sheeran,792,165,199,400,6,13,9,Australia,133
35,36,+7,Dua Lipa,790,430,234,87,0,9,31,Ireland,92
36,37,+1,Morgan Wallen,773,254,364,58,40,16,41,United States,39
37,38,+3,Rauw Alejandro,771,342,396,4,12,12,4,Spain,25
38,39,-4,GIMS,758,390,150,29,110,26,54,France,49
39,40,=,Lana Del Rey,751,456,241,17,0,28,9,Brazil,106
40,41,+1,Tito Double P,748,279,306,37,96,13,17,Mexico,18
41,42,-3,Gracie Abrams,743,379,298,13,2,35,17,Australia,84
42,43,-6,Olivia Rodrigo,735,379,332,20,0,1,2,Thailand,81
43,44,+3,Imagine Dragons,711,278,270,99,20,9,34,Brazil,74
44,45,+1,Asake,690,571,72,3,11,17,16,Nigeria,56
45,46,-1,Chris Brown,687,528,36,42,41,20,19,South Africa,95
46,47,-3,Metro Boomin,681,537,139,2,0,3,0,United States,119
47,48,=,MatuÃª,674,316,292,12,35,3,16,Brazil,9
48,49,+2,David Guetta,672,93,236,189,50,52,52,Netherlands,98
49,50,=,Sevdaliza,653,155,108,40,205,104,41,France,101
50,51,+1,Frank Ocean,634,303,322,8,0,0,2,United States,91
51,52,-3,Ninho,634,439,114,3,50,10,18,France,22
52,53,+1,Future,617,510,83,9,9,4,2,United States,109
53,54,-1,Shiva,598,189,262,11,134,2,0,Italy,4
54,55,+1,Fuerza Regida,593,258,222,4,78,9,22,Mexico,16
55,56,+1,*NSYNC,591,108,138,56,215,49,25,United Kingdom,85
56,57,-2,Mrs. GREEN APPLE,590,188,327,71,0,5,0,Japan,2
57,58,+1,The Kid LAROI,584,105,386,16,6,54,17,Australia,80
58,59,+13,Jung Kook,569,209,253,74,0,1,31,Myanmar,84
59,60,+4,JHAYCO,568,351,205,0,0,7,4,Spain,25
60,61,-3,Hanumankind,568,116,156,50,123,107,16,India,96
61,62,+6,Disturbed,559,54,90,176,129,69,42,Netherlands,60
62,63,=,Adam Port,559,175,170,52,50,82,30,Netherlands,80
63,64,+1,Katy Perry,549,292,191,55,0,7,4,Brazil,79
64,65,+2,Luke Combs,548,193,230,68,15,6,37,Canada,21
65,66,-4,Burna Boy,548,317,34,124,3,66,3,Nigeria,96
66,67,+4,V,531,197,132,28,0,0,174,Paraguay,46
67,68,-8,Rema,528,370,40,39,21,39,18,Nigeria,80
68,69,+1,Semicenk,527,175,153,29,145,12,13,Turkey,10
69,70,-1,Arctic Monkeys,525,118,382,17,0,1,7,United Kingdom,87
70,71,-10,Playboi Carti,523,295,156,32,24,12,4,United States,103
71,72,+6,Tiakola,522,373,78,0,27,12,32,France,27
72,73,+1,Fred again..,510,337,158,8,0,5,2,Australia,80
73,74,-1,Artemas,507,85,227,28,86,39,42,Germany,53
74,75,=,Bernadya,504,138,235,45,75,9,2,Indonesia,5
75,76,-10,Myles Smith,504,151,157,55,56,43,42,United Kingdom,54
76,77,-1,Rihanna,493,144,238,79,9,15,9,Netherlands,104
77,78,+3,Oasis,478,228,138,51,28,13,19,United Kingdom,45
78,79,+1,Blessd,472,144,144,0,148,24,13,Colombia,20
79,80,-3,MACAN,469,421,10,17,7,13,0,Russia,21
80,81,+1,BeyoncÃ©,469,275,21,115,2,1,55,Netherlands,129
81,82,-3,å¨æ°ä¼¦,463,463,0,0,0,0,0,China,1
82,83,+4,NewJeans,457,296,84,14,61,3,0,South Korea,19
83,84,+1,The Neighbourhood,454,23,358,0,53,12,8,Poland,64
84,85,+7,Dasha,454,70,208,80,39,41,16,Australia,36
85,86,=,Junior H,452,201,193,12,36,4,6,Mexico,16
86,87,-4,Ayra Starr,451,275,59,12,69,27,10,Namibia,82
87,88,-4,Pritam,440,135,290,12,0,2,0,India,16
88,89,-1,AYLIVA,439,151,209,23,44,4,8,Germany,5
89,90,=,Noah Kahan,437,140,213,17,14,8,46,Canada,27
90,91,=,Megan Thee Stallion,427,86,105,41,127,44,24,United States,106
91,92,+1,CYRIL,424,53,136,122,37,52,22,Australia,42
92,93,-4,aespa,419,227,92,17,80,3,0,South Korea,16
93,94,+2,ANNA,405,103,182,19,98,3,0,Italy,3
94,95,+7,Arijit Singh,405,146,222,11,23,3,0,India,14
95,96,+7,OneRepublic,403,59,232,62,4,33,13,Netherlands,54
96,97,-3,Natanael Cano,403,171,157,16,45,5,9,Mexico,10
97,98,-1,LE SSERAFIM,396,177,121,23,61,10,3,Japan,43
98,99,-1,Keinemusik,395,176,85,52,0,82,0,Netherlands,78
99,100,-1,Stryv,393,174,85,52,0,82,0,Netherlands,78
100,101,-1,Malachiii,393,174,85,52,0,82,0,Netherlands,78
101,102,-1,Orso,393,174,85,52,0,82,0,Netherlands,78
102,103,-8,Sachin-Jigar,387,179,176,26,0,7,0,India,18
103,104,=,Pabllo Vittar,382,167,58,39,0,99,19,France,95
104,105,+2,Geolier,382,106,146,11,114,4,0,Italy,3
105,106,+4,Don Toliver,368,208,138,2,0,17,4,Canada,90
106,107,-1,Luck Ra,366,21,215,0,98,11,20,Argentina,7
107,108,+3,Yseult,361,155,53,34,0,97,21,France,95
108,109,+3,Karan Aujla,356,177,96,17,64,2,0,India,14
109,110,+3,Trueno,353,61,212,1,66,9,5,Argentina,20
